,fecha,region,institucion,primeras_consultas,consultas_seguimiento,total_mes,label_year
250,2020-05-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",1923,10884.0,12807,2020
251,2020-05-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",327,2476.0,2803,2020
261,2020-06-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",448,3365.0,3813,2020
262,2020-06-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",577,5204.0,5781,2020
263,2020-06-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",240,1142.0,1382,2020
264,2020-06-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,815,9815.0,10630,2020
265,2020-06-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",341,2483.0,2824,2020
275,2020-08-01,Região de Saúde LVT,"Hospital de Loures, PPP",551,4500.0,5051,2020
283,2020-09-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",820,7320.0,8140,2020
284,2020-09-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",3127,17634.0,20761,2020
288,2020-10-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",357,1900.0,2257,2020
289,2020-10-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",395,1268.0,1663,2020
290,2020-10-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",3652,19862.0,23514,2020
291,2020-10-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",952,9020.0,9972,2020
296,2020-11-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",836,6399.0,7235,2020
297,2020-11-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",670,1983.0,2653,2020
305,2020-12-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",2537,9769.0,12306,2020
306,2020-12-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,1529,19472.0,21001,2020
307,2020-12-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",882,5682.0,6564,2020
308,2020-12-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",958,5523.0,6481,2020
314,2021-01-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",66,664.0,730,2021
315,2021-01-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",28,151.0,179,2021
316,2021-01-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",61,146.0,207,2021
317,2021-01-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP",34,207.0,241,2021
318,2021-01-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",99,411.0,510,2021
327,2021-02-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",112,558.0,670,2021
328,2021-02-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",267,2214.0,2481,2021
329,2021-02-01,Região de Saúde LVT,Instituto Gama Pinto,0,55.0,55,2021
330,2021-02-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",168,942.0,1110,2021
337,2021-03-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",652,2865.0,3517,2021
338,2021-03-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",354,3144.0,3498,2021
339,2021-03-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",169,488.0,657,2021
340,2021-03-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",1092,7285.0,8377,2021
344,2021-04-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,707,8564.0,9271,2021
345,2021-04-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",373,2668.0,3041,2021
351,2021-05-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",263,856.0,1119,2021
352,2021-05-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",305,2836.0,3141,2021
353,2021-05-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",406,1686.0,2092,2021
357,2021-06-01,Região de Saúde LVT,"Hospital de Cascais, PPP",224,1408.0,1632,2021
358,2021-06-01,Região de Saúde LVT,"Hospital de Loures, PPP",471,3978.0,4449,2021
366,2021-07-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",1635,6946.0,8581,2021
367,2021-07-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",287,1426.0,1713,2021
368,2021-07-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",510,3774.0,4284,2021
373,2021-09-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",597,5136.0,5733,2021
374,2021-09-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",344,1774.0,2118,2021
375,2021-09-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",425,1220.0,1645,2021
376,2021-09-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",801,5434.0,6235,2021
377,2021-09-01,Região de Saúde LVT,Instituto Gama Pinto,0,260.0,260,2021
378,2021-09-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",1154,4065.0,5219,2021
386,2021-10-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",402,2011.0,2413,2021
387,2021-10-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",803,3132.0,3935,2021
393,2021-11-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, EPE",374,2268.0,2642,2021
394,2021-11-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",1556,10810.0,12366,2021
402,2021-12-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",2813,11355.0,14168,2021
403,2021-12-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",1516,11899.0,13415,2021
404,2021-12-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,2008,22006.0,24014,2021
405,2021-12-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",1079,7023.0,8102,2021
406,2021-12-01,Região de Saúde LVT,Instituto Gama Pinto,0,333.0,333,2021
414,2022-01-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",132,1044.0,1176,2022
415,2022-01-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",152,996.0,1148,2022
416,2022-01-01,Região de Saúde LVT,Instituto Gama Pinto,0,30.0,30,2022
423,2022-02-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",126,436.0,562,2022
424,2022-02-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,414,3263.0,3677,2022
425,2022-02-01,Região de Saúde LVT,"Hospital de Loures, EPE",157,862.0,1019,2022
436,2022-03-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",882,3099.0,3981,2022
437,2022-03-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",1285,6691.0,7976,2022
438,2022-03-01,Região de Saúde LVT,"Hospital de Loures, EPE",232,1318.0,1550,2022
439,2022-03-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",479,3325.0,3804,2022
444,2022-04-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,824,6657.0,7481,2022
445,2022-04-01,Região de Saúde LVT,"Hospital de Loures, EPE",232,1356.0,1588,2022
446,2022-04-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",385,1997.0,2382,2022
453,2022-05-01,Região de Saúde LVT,"Hospital de Cascais, PPP",244,1173.0,1417,2022
454,2022-05-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",494,2585.0,3079,2022
459,2022-06-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",2390,12837.0,15227,2022
460,2022-06-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",484,3155.0,3639,2022
461,2022-06-01,Região de Saúde LVT,"Hospital de Cascais, PPP",280,1358.0,1638,2022
462,2022-06-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",579,2262.0,2841,2022
463,2022-06-01,Região de Saúde LVT,Instituto Gama Pinto,0,173.0,173,2022
472,2022-07-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",718,3589.0,4307,2022
473,2022-07-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",2731,14713.0,17444,2022
474,2022-07-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,1357,11148.0,12505,2022
475,2022-07-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",923,6683.0,7606,2022
476,2022-07-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",1095,3559.0,4654,2022
485,2022-08-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",1116,8213.0,9329,2022
486,2022-08-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",647,4024.0,4671,2022
487,2022-08-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",704,2893.0,3597,2022
488,2022-08-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",824,3949.0,4773,2022
496,2022-09-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",464,2114.0,2578,2022
497,2022-09-01,Região de Saúde LVT,"Hospital de Loures, EPE",637,3780.0,4417,2022
505,2022-10-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",830,3685.0,4515,2022
506,2022-10-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",1272,8885.0,10157,2022
507,2022-10-01,Região de Saúde LVT,Instituto Gama Pinto,0,261.0,261,2022
513,2022-11-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",1162,5621.0,6783,2022
514,2022-11-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",1500,11218.0,12718,2022
515,2022-11-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",858,5381.0,6239,2022
516,2022-11-01,Região de Saúde LVT,Instituto Gama Pinto,0,286.0,286,2022
527,2022-12-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",4515,24309.0,28824,2022
528,2022-12-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,2264,17712.0,19976,2022
529,2022-12-01,Região de Saúde LVT,"Hospital de Cascais, PPP",507,2587.0,3094,2022
530,2022-12-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",979,4331.0,5310,2022
531,2022-12-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",1823,6211.0,8034,2022
535,2023-01-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",355,1238.0,1593,2023
536,2023-01-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",62,290.0,352,2023
537,2023-01-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",195,1070.0,1265,2023
543,2023-02-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,495,3649.0,4144,2023
544,2023-02-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",231,1143.0,1374,2023
549,2023-03-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",316,1670.0,1986,2023
550,2023-03-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",373,1714.0,2087,2023
562,2023-04-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",1577,8868.0,10445,2023
563,2023-04-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,948,7364.0,8312,2023
564,2023-04-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",665,2256.0,2921,2023
571,2023-05-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",399,1497.0,1896,2023
572,2023-05-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",367,2580.0,2947,2023
575,2023-06-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",923,6312.0,7235,2023
576,2023-06-01,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE",318,1498.0,1816,2023
577,2023-06-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",508,2087.0,2595,2023
578,2023-06-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",1078,6589.0,7667,2023
583,2023-07-01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE",670,3698.0,4368,2023
584,2023-07-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",555,1931.0,2486,2023
585,2023-07-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",504,3547.0,4051,2023
586,2023-07-01,Região de Saúde LVT,"Hospital de Cascais, PPP",389,1836.0,2225,2023
587,2023-07-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",848,3979.0,4827,2023
598,2023-08-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",1334,8032.0,9366,2023
602,2018-01-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",252,923.0,1175,2018
603,2018-01-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",302,2285.0,2587,2018
604,2018-01-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,203,1832.0,2035,2018
605,2018-01-01,Região de Saúde LVT,"Hospital de Loures, PPP",147,612.0,759,2018
606,2018-01-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP",23,244.0,267,2018
607,2018-01-01,Região de Saúde LVT,Instituto Gama Pinto,0,27.0,27,2018
608,2018-01-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",137,472.0,609,2018
617,2018-02-01,Região de Saúde LVT,"Hospital de Cascais, PPP",179,625.0,804,2018
618,2018-02-01,Região de Saúde LVT,"Hospital de Loures, PPP",273,1201.0,1474,2018
619,2018-02-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP",30,430.0,460,2018
620,2018-02-01,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE",288,886.0,1174,2018
625,2018-03-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",0,4.0,4,2018
630,2018-04-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,792,7044.0,7836,2018
631,2018-04-01,Região de Saúde LVT,"Hospital de Loures, PPP",492,2365.0,2857,2018
632,2018-04-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",0,5.0,5,2018
633,2018-04-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",402,3338.0,3740,2018
648,2018-05-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE",140,1553.0,1693,2018
649,2018-05-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",522,4343.0,4865,2018
655,2018-06-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",666,5135.0,5801,2018
656,2018-06-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",0,7.0,7,2018
657,2018-06-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",521,2865.0,3386,2018
658,2018-06-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",633,5229.0,5862,2018
659,2018-06-01,Região de Saúde LVT,Instituto Gama Pinto,0,193.0,193,2018
668,2018-07-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE",787,5943.0,6730,2018
669,2018-07-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,1357,12300.0,13657,2018
670,2018-07-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",593,3307.0,3900,2018
671,2018-07-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE",732,6066.0,6798,2018
679,2018-08-01,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE",2139,16148.0,18287,2018
680,2018-08-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",0,7.0,7,2018
683,2018-09-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,1633,14442.0,16075,2018
684,2018-09-01,Região de Saúde LVT,"Hospital de Loures, PPP",1012,4902.0,5914,2018
685,2018-09-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE",0,7.0,7,2018
691,2018-10-01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE, EPE",375,2650.0,3025,2018
692,2018-10-01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE",905,4393.0,5298,2018
693,2018-10-01,Região de Saúde LVT,"Hospital de Loures, PPP",1133,5461.0,6594,2018
694,2018-10-01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE",859,4462.0,5321,2018
701,2018-11-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE",2358,9770.0,12128,2018
702,2018-11-01,Região de Saúde LVT,"Hospital de Cascais, PPP",709,3390.0,4099,2018
703,2018-11-01,Região de Saúde LVT,"Hospital de Loures, PPP",1217,6002.0,7219,2018
704,2018-11-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP",240,2276.0,2516,2018
